citycode,cityname,cityname_kn,matomeareacode,matomeareaname,matomeareaname_kn,firstareacode,firstareaname,firstareaname_kn,prefcode,prefname,prefname_kn
0521000,由利本荘市,ゆりほんじょうし,050013,本荘由利地域,ほんじょうゆりちいき,050010,沿岸,えんがん,050000,秋田県,あきたけん
0521100,潟上市,かたがみし,050011,秋田中央地域,あきたちゅうおうちいき,050010,沿岸,えんがん,050000,秋田県,あきたけん
0521200,大仙市,だいせんし,050022,仙北平鹿地域,せんぼくひらかちいき,050020,内陸,ないりく,050000,秋田県,あきたけん
0521300,北秋田市,きたあきたし,050021,北秋鹿角地域,ほくしゅうかづのちいき,050020,内陸,ないりく,050000,秋田県,あきたけん
0521400,にかほ市,にかほし,050013,本荘由利地域,ほんじょうゆりちいき,050010,沿岸,えんがん,050000,秋田県,あきたけん
0521500,仙北市,せんぼくし,050022,仙北平鹿地域,せんぼくひらかちいき,050020,内陸,ないりく,050000,秋田県,あきたけん
0530300,小坂町,こさかまち,050021,北秋鹿角地域,ほくしゅうかづのちいき,050020,内陸,ないりく,050000,秋田県,あきたけん
0532700,上小阿仁村,かみこあにむら,050021,北秋鹿角地域,ほくしゅうかづのちいき,050020,内陸,ないりく,050000,秋田県,あきたけん
0534600,藤里町,ふじさとまち,050012,能代山本地域,のしろやまもとちいき,050010,沿岸,えんがん,050000,秋田県,あきたけん
0534800,三種町,みたねちょう,050012,能代山本地域,のしろやまもとちいき,050010,沿岸,えんがん,050000,秋田県,あきたけん
0534900,八峰町,はっぽうちょう,050012,能代山本地域,のしろやまもとちいき,050010,沿岸,えんがん,050000,秋田県,あきたけん
0536100,五城目町,ごじょうめまち,050011,秋田中央地域,あきたちゅうおうちいき,050010,沿岸,えんがん,050000,秋田県,あきたけん
0536300,八郎潟町,はちろうがたまち,050011,秋田中央地域,あきたちゅうおうちいき,050010,沿岸,えんがん,050000,秋田県,あきたけん
0536600,井川町,いかわまち,050011,秋田中央地域,あきたちゅうおうちいき,050010,沿岸,えんがん,050000,秋田県,あきたけん
0536800,大潟村,おおがたむら,050011,秋田中央地域,あきたちゅうおうちいき,050010,沿岸,えんがん,050000,秋田県,あきたけん
0543400,美郷町,みさとちょう,050022,仙北平鹿地域,せんぼくひらかちいき,050020,内陸,ないりく,050000,秋田県,あきたけん
0546300,羽後町,うごまち,050023,湯沢雄勝地域,ゆざわおがちちいき,050020,内陸,ないりく,050000,秋田県,あきたけん
0546400,東成瀬村,ひがしなるせむら,050023,湯沢雄勝地域,ゆざわおがちちいき,050020,内陸,ないりく,050000,秋田県,あきたけん
0620100,山形市,やまがたし,060011,東南村山,とうなんむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0620200,米沢市,よねざわし,060021,東南置賜,とうなんおきたま,060020,置賜,おきたま,060000,山形県,やまがたけん
0620300,鶴岡市,つるおかし,060032,庄内南部,しょうないなんぶ,060030,庄内,しょうない,060000,山形県,やまがたけん
0620400,酒田市,さかたし,060031,庄内北部,しょうないほくぶ,060030,庄内,しょうない,060000,山形県,やまがたけん
0620500,新庄市,しんじょうし,060040,最上,もがみ,060040,最上,もがみ,060000,山形県,やまがたけん
0620600,寒河江市,さがえし,060013,西村山,にしむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0620700,上山市,かみのやまし,060011,東南村山,とうなんむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0620800,村山市,むらやまし,060012,北村山,きたむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0620900,長井市,ながいし,060022,西置賜,にしおきたま,060020,置賜,おきたま,060000,山形県,やまがたけん
0621000,天童市,てんどうし,060011,東南村山,とうなんむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0621100,東根市,ひがしねし,060012,北村山,きたむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0621200,尾花沢市,おばなざわし,060012,北村山,きたむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0621300,南陽市,なんようし,060021,東南置賜,とうなんおきたま,060020,置賜,おきたま,060000,山形県,やまがたけん
0630100,山辺町,やまのべまち,060011,東南村山,とうなんむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0630200,中山町,なかやままち,060011,東南村山,とうなんむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0632100,河北町,かほくちょう,060013,西村山,にしむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0632200,西川町,にしかわまち,060013,西村山,にしむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0632300,朝日町,あさひまち,060013,西村山,にしむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0632400,大江町,おおえまち,060013,西村山,にしむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0634100,大石田町,おおいしだまち,060012,北村山,きたむらやま,060010,村山,むらやま,060000,山形県,やまがたけん
0636100,金山町,かねやままち,060040,最上,もがみ,060040,最上,もがみ,060000,山形県,やまがたけん
0636200,最上町,もがみまち,060040,最上,もがみ,060040,最上,もがみ,060000,山形県,やまがたけん
0636300,舟形町,ふながたまち,060040,最上,もがみ,060040,最上,もがみ,060000,山形県,やまがたけん
0636400,真室川町,まむろがわまち,060040,最上,もがみ,060040,最上,もがみ,060000,山形県,やまがたけん
0636500,大蔵村,おおくらむら,060040,最上,もがみ,060040,最上,もがみ,060000,山形県,やまがたけん
0636600,鮭川村,さけがわむら,060040,最上,もがみ,060040,最上,もがみ,060000,山形県,やまがたけん
0636700,戸沢村,とざわむら,060040,最上,もがみ,060040,最上,もがみ,060000,山形県,やまがたけん
0638100,高畠町,たかはたまち,060021,東南置賜,とうなんおきたま,060020,置賜,おきたま,060000,山形県,やまがたけん
0638200,川西町,かわにしまち,060021,東南置賜,とうなんおきたま,060020,置賜,おきたま,060000,山形県,やまがたけん
0640100,小国町,おぐにまち,060022,西置賜,にしおきたま,060020,置賜,おきたま,060000,山形県,やまがたけん
0640200,白鷹町,しらたかまち,060022,西置賜,にしおきたま,060020,置賜,おきたま,060000,山形県,やまがたけん
0640300,飯豊町,いいでまち,060022,西置賜,にしおきたま,060020,置賜,おきたま,060000,山形県,やまがたけん
0642600,三川町,みかわまち,060032,庄内南部,しょうないなんぶ,060030,庄内,しょうない,060000,山形県,やまがたけん
0642800,庄内町,しょうないまち,060032,庄内南部,しょうないなんぶ,060030,庄内,しょうない,060000,山形県,やまがたけん
0646100,遊佐町,ゆざまち,060031,庄内北部,しょうないほくぶ,060030,庄内,しょうない,060000,山形県,やまがたけん
0720100,福島市,ふくしまし,070011,中通り北部,なかどおりほくぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0720200,会津若松市,あいづわかまつし,070032,会津中部,あいづちゅうぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0720301,郡山市,こおりやまし,070012,中通り中部,なかどおりちゅうぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0720302,郡山市湖南,こおりやましこなん,070032,会津中部,あいづちゅうぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0720400,いわき市,いわきし,070023,浜通り南部,はまどおりなんぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0720500,白河市,しらかわし,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0720700,須賀川市,すかがわし,070012,中通り中部,なかどおりちゅうぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0720800,喜多方市,きたかたし,070031,会津北部,あいづほくぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0720900,相馬市,そうまし,070021,浜通り北部,はまどおりほくぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0721000,二本松市,にほんまつし,070012,中通り中部,なかどおりちゅうぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0721100,田村市,たむらし,070012,中通り中部,なかどおりちゅうぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0721200,南相馬市,みなみそうまし,070021,浜通り北部,はまどおりほくぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0721300,伊達市,だてし,070011,中通り北部,なかどおりほくぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0721400,本宮市,もとみやし,070012,中通り中部,なかどおりちゅうぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0730100,桑折町,こおりまち,070011,中通り北部,なかどおりほくぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0730300,国見町,くにみまち,070011,中通り北部,なかどおりほくぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0730800,川俣町,かわまたまち,070011,中通り北部,なかどおりほくぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0732200,大玉村,おおたまむら,070012,中通り中部,なかどおりちゅうぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0734200,鏡石町,かがみいしまち,070012,中通り中部,なかどおりちゅうぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0734401,天栄村,てんえいむら,070012,中通り中部,なかどおりちゅうぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0734402,天栄村湯本,てんえいむらゆもと,070033,会津南部,あいづなんぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0736200,下郷町,しもごうまち,070033,会津南部,あいづなんぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0736400,檜枝岐村,ひのえまたむら,070033,会津南部,あいづなんぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0736700,只見町,ただみまち,070033,会津南部,あいづなんぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0736800,南会津町,みなみあいづまち,070033,会津南部,あいづなんぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0740200,北塩原村,きたしおばらむら,070031,会津北部,あいづほくぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0740500,西会津町,にしあいづまち,070031,会津北部,あいづほくぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0740700,磐梯町,ばんだいまち,070031,会津北部,あいづほくぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0740800,猪苗代町,いなわしろまち,070031,会津北部,あいづほくぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0742100,会津坂下町,あいづばんげまち,070032,会津中部,あいづちゅうぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0742200,湯川村,ゆがわむら,070032,会津中部,あいづちゅうぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0742300,柳津町,やないづまち,070032,会津中部,あいづちゅうぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0744400,三島町,みしままち,070032,会津中部,あいづちゅうぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0744500,金山町,かねやままち,070032,会津中部,あいづちゅうぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0744600,昭和村,しょうわむら,070032,会津中部,あいづちゅうぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0744700,会津美里町,あいづみさとまち,070032,会津中部,あいづちゅうぶ,070030,会津,あいづ,070000,福島県,ふくしまけん
0746100,西郷村,にしごうむら,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0746400,泉崎村,いずみざきむら,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0746500,中島村,なかじまむら,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0746600,矢吹町,やぶきまち,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0748100,棚倉町,たなぐらまち,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0748200,矢祭町,やまつりまち,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0748300,塙町,はなわまち,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0748400,鮫川村,さめがわむら,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0750100,石川町,いしかわまち,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0750200,玉川村,たまかわむら,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0750300,平田村,ひらたむら,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0750400,浅川町,あさかわまち,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0750500,古殿町,ふるどのまち,070013,中通り南部,なかどおりなんぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0752100,三春町,みはるまち,070012,中通り中部,なかどおりちゅうぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0752200,小野町,おのまち,070012,中通り中部,なかどおりちゅうぶ,070010,中通り,なかどおり,070000,福島県,ふくしまけん
0754100,広野町,ひろのまち,070022,浜通り中部,はまどおりちゅうぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0754200,楢葉町,ならはまち,070022,浜通り中部,はまどおりちゅうぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0754300,富岡町,とみおかまち,070022,浜通り中部,はまどおりちゅうぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0754400,川内村,かわうちむら,070022,浜通り中部,はまどおりちゅうぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0754500,大熊町,おおくままち,070022,浜通り中部,はまどおりちゅうぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0754600,双葉町,ふたばまち,070022,浜通り中部,はまどおりちゅうぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0754700,浪江町,なみえまち,070022,浜通り中部,はまどおりちゅうぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0754800,葛尾村,かつらおむら,070022,浜通り中部,はまどおりちゅうぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0756100,新地町,しんちまち,070021,浜通り北部,はまどおりほくぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0756400,飯舘村,いいたてむら,070021,浜通り北部,はまどおりほくぶ,070020,浜通り,はまどおり,070000,福島県,ふくしまけん
0820100,水戸市,みとし,080011,県央地域,けんおうちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0820200,日立市,ひたちし,080012,県北地域,けんぽくちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0820300,土浦市,つちうらし,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0820400,古河市,こがし,080023,県西地域,けんせいちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0820500,石岡市,いしおかし,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0820700,結城市,ゆうきし,080023,県西地域,けんせいちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0820800,龍ケ崎市,りゅうがさきし,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0821000,下妻市,しもつまし,080023,県西地域,けんせいちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0821100,常総市,じょうそうし,080023,県西地域,けんせいちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0821200,常陸太田市,ひたちおおたし,080012,県北地域,けんぽくちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0821400,高萩市,たかはぎし,080012,県北地域,けんぽくちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0821500,北茨城市,きたいばらきし,080012,県北地域,けんぽくちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0821600,笠間市,かさまし,080011,県央地域,けんおうちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0821700,取手市,とりでし,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0821900,牛久市,うしくし,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0822000,つくば市,つくばし,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0822100,ひたちなか市,ひたちなかし,080012,県北地域,けんぽくちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0822200,鹿嶋市,かしまし,080021,鹿行地域,ろっこうちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0822300,潮来市,いたこし,080021,鹿行地域,ろっこうちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0822400,守谷市,もりやし,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0822500,常陸大宮市,ひたちおおみやし,080012,県北地域,けんぽくちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0822600,那珂市,なかし,080012,県北地域,けんぽくちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0822700,筑西市,ちくせいし,080023,県西地域,けんせいちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0822800,坂東市,ばんどうし,080023,県西地域,けんせいちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0822900,稲敷市,いなしきし,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0823000,かすみがうら市,かすみがうらし,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0823100,桜川市,さくらがわし,080023,県西地域,けんせいちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0823200,神栖市,かみすし,080021,鹿行地域,ろっこうちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0823300,行方市,なめがたし,080021,鹿行地域,ろっこうちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0823400,鉾田市,ほこたし,080021,鹿行地域,ろっこうちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0823500,つくばみらい市,つくばみらいし,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0823600,小美玉市,おみたまし,080011,県央地域,けんおうちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0830200,茨城町,いばらきまち,080011,県央地域,けんおうちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0830900,大洗町,おおあらいまち,080011,県央地域,けんおうちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0831000,城里町,しろさとまち,080011,県央地域,けんおうちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0834100,東海村,とうかいむら,080012,県北地域,けんぽくちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0836400,大子町,だいごまち,080012,県北地域,けんぽくちいき,080010,北部,ほくぶ,080000,茨城県,いばらきけん
0844200,美浦村,みほむら,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0844300,阿見町,あみまち,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0844700,河内町,かわちまち,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0852100,八千代町,やちよまち,080023,県西地域,けんせいちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0854200,五霞町,ごかまち,080023,県西地域,けんせいちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0854600,境町,さかいまち,080023,県西地域,けんせいちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0856400,利根町,とねまち,080022,県南地域,けんなんちいき,080020,南部,なんぶ,080000,茨城県,いばらきけん
0920100,宇都宮市,うつのみやし,090011,県央部,けんおうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0920200,足利市,あしかがし,090013,南西部,なんせいぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0920300,栃木市,とちぎし,090013,南西部,なんせいぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0920400,佐野市,さのし,090013,南西部,なんせいぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0920500,鹿沼市,かぬまし,090013,南西部,なんせいぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0920601,日光市今市,にっこうしいまいち,090022,日光市,にっこうし,090020,北部,ほくぶ,090000,栃木県,とちぎけん
0920602,日光市日光,にっこうしにっこう,090022,日光市,にっこうし,090020,北部,ほくぶ,090000,栃木県,とちぎけん
0920603,日光市藤原,にっこうしふじはら,090022,日光市,にっこうし,090020,北部,ほくぶ,090000,栃木県,とちぎけん
0920604,日光市足尾,にっこうしあしお,090022,日光市,にっこうし,090020,北部,ほくぶ,090000,栃木県,とちぎけん
0920605,日光市栗山,にっこうしくりやま,090022,日光市,にっこうし,090020,北部,ほくぶ,090000,栃木県,とちぎけん
0920800,小山市,おやまし,090013,南西部,なんせいぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0920900,真岡市,もおかし,090012,南東部,なんとうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0921000,大田原市,おおたわらし,090021,那須地域,なすちいき,090020,北部,ほくぶ,090000,栃木県,とちぎけん
0921100,矢板市,やいたし,090021,那須地域,なすちいき,090020,北部,ほくぶ,090000,栃木県,とちぎけん
0921300,那須塩原市,なすしおばらし,090021,那須地域,なすちいき,090020,北部,ほくぶ,090000,栃木県,とちぎけん
0921400,さくら市,さくらし,090011,県央部,けんおうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0921500,那須烏山市,なすからすやまし,090012,南東部,なんとうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0921600,下野市,しもつけし,090013,南西部,なんせいぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0930100,上三川町,かみのかわまち,090011,県央部,けんおうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0934200,益子町,ましこまち,090012,南東部,なんとうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0934300,茂木町,もてぎまち,090012,南東部,なんとうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0934400,市貝町,いちかいまち,090012,南東部,なんとうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0934500,芳賀町,はがまち,090012,南東部,なんとうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0936100,壬生町,みぶまち,090013,南西部,なんせいぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0936400,野木町,のぎまち,090013,南西部,なんせいぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0938400,塩谷町,しおやまち,090021,那須地域,なすちいき,090020,北部,ほくぶ,090000,栃木県,とちぎけん
0938600,高根沢町,たかねざわまち,090011,県央部,けんおうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
0940700,那須町,なすまち,090021,那須地域,なすちいき,090020,北部,ほくぶ,090000,栃木県,とちぎけん
0941100,那珂川町,なかがわまち,090012,南東部,なんとうぶ,090010,南部,なんぶ,090000,栃木県,とちぎけん
1020100,前橋市,まえばしし,100011,前橋・桐生地域,まえばしきりゅうちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1020200,高崎市,たかさきし,100013,高崎・藤岡地域,たかさきふじおかちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1020300,桐生市,きりゅうし,100011,前橋・桐生地域,まえばしきりゅうちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1020400,伊勢崎市,いせさきし,100012,伊勢崎・太田地域,いせさきおおたちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1020500,太田市,おおたし,100012,伊勢崎・太田地域,いせさきおおたちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1020600,沼田市,ぬまたし,100021,利根・沼田地域,とねぬまたちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1020700,館林市,たてばやしし,100012,伊勢崎・太田地域,いせさきおおたちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1020800,渋川市,しぶかわし,100011,前橋・桐生地域,まえばしきりゅうちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1020900,藤岡市,ふじおかし,100013,高崎・藤岡地域,たかさきふじおかちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1021000,富岡市,とみおかし,100013,高崎・藤岡地域,たかさきふじおかちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1021100,安中市,あんなかし,100013,高崎・藤岡地域,たかさきふじおかちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1021200,みどり市,みどりし,100011,前橋・桐生地域,まえばしきりゅうちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1034400,榛東村,しんとうむら,100011,前橋・桐生地域,まえばしきりゅうちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1034500,吉岡町,よしおかまち,100011,前橋・桐生地域,まえばしきりゅうちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1036600,上野村,うえのむら,100013,高崎・藤岡地域,たかさきふじおかちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1036700,神流町,かんなまち,100013,高崎・藤岡地域,たかさきふじおかちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1038200,下仁田町,しもにたまち,100013,高崎・藤岡地域,たかさきふじおかちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1038300,南牧村,なんもくむら,100013,高崎・藤岡地域,たかさきふじおかちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1038400,甘楽町,かんらまち,100013,高崎・藤岡地域,たかさきふじおかちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1042100,中之条町,なかのじょうまち,100022,吾妻地域,あがつまちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1042400,長野原町,ながのはらまち,100022,吾妻地域,あがつまちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1042500,嬬恋村,つまごいむら,100022,吾妻地域,あがつまちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1042600,草津町,くさつまち,100022,吾妻地域,あがつまちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1042800,高山村,たかやまむら,100022,吾妻地域,あがつまちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1042900,東吾妻町,ひがしあがつままち,100022,吾妻地域,あがつまちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1044300,片品村,かたしなむら,100021,利根・沼田地域,とねぬまたちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1044400,川場村,かわばむら,100021,利根・沼田地域,とねぬまたちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1044800,昭和村,しょうわむら,100021,利根・沼田地域,とねぬまたちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1044900,みなかみ町,みなかみまち,100021,利根・沼田地域,とねぬまたちいき,100020,北部,ほくぶ,100000,群馬県,ぐんまけん
1046400,玉村町,たまむらまち,100012,伊勢崎・太田地域,いせさきおおたちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1052100,板倉町,いたくらまち,100012,伊勢崎・太田地域,いせさきおおたちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1052200,明和町,めいわまち,100012,伊勢崎・太田地域,いせさきおおたちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1052300,千代田町,ちよだまち,100012,伊勢崎・太田地域,いせさきおおたちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1052400,大泉町,おおいずみまち,100012,伊勢崎・太田地域,いせさきおおたちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1052500,邑楽町,おうらまち,100012,伊勢崎・太田地域,いせさきおおたちいき,100010,南部,なんぶ,100000,群馬県,ぐんまけん
1110000,さいたま市,さいたまし,110011,南中部,なんちゅうぶ,110010,南部,なんぶ,110000,埼玉県,さいたまけん
1120100,川越市,かわごえし,110011,南中部,なんちゅうぶ,110010,南部,なんぶ,110000,埼玉県,さいたまけん
