citycode,cityname,cityname_kn,matomeareacode,matomeareaname,matomeareaname_kn,firstareacode,firstareaname,firstareaname_kn,prefcode,prefname,prefname_kn
0221000,平川市,ひらかわし,020014,中南津軽,ちゅうなんつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0230100,平内町,ひらないまち,020011,東青津軽,とうせいつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0230300,今別町,いまべつまち,020011,東青津軽,とうせいつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0230400,蓬田村,よもぎたむら,020011,東青津軽,とうせいつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0230700,外ヶ浜町,そとがはままち,020011,東青津軽,とうせいつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0232100,鰺ヶ沢町,あじがさわまち,020013,西津軽,にしつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0232300,深浦町,ふかうらまち,020013,西津軽,にしつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0234300,西目屋村,にしめやむら,020014,中南津軽,ちゅうなんつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0236100,藤崎町,ふじさきまち,020014,中南津軽,ちゅうなんつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0236200,大鰐町,おおわにまち,020014,中南津軽,ちゅうなんつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0236700,田舎館村,いなかだてむら,020014,中南津軽,ちゅうなんつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0238100,板柳町,いたやなぎまち,020012,北五津軽,きたごつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0238400,鶴田町,つるたまち,020012,北五津軽,きたごつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0238700,中泊町,なかどまりまち,020012,北五津軽,きたごつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0240100,野辺地町,のへじまち,020032,上北,かみきた,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0240200,七戸町,しちのへまち,020032,上北,かみきた,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0240500,六戸町,ろくのへまち,020031,三八,さんぱち,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0240600,横浜町,よこはままち,020032,上北,かみきた,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0240800,東北町,とうほくまち,020032,上北,かみきた,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0241100,六ヶ所村,ろっかしょむら,020032,上北,かみきた,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
