citycode,cityname,cityname_kn
0410002,仙台市西部,せんだいしせいぶ
0420200,石巻市,いしのまきし
0420300,塩竈市,しおがまし
0420500,気仙沼市,けせんぬまし
0420600,白石市,しろいしし
0420700,名取市,なとりし
0420800,角田市,かくだし
0420900,多賀城市,たがじょうし
0421100,岩沼市,いわぬまし
0421200,登米市,とめし
0421301,栗原市東部,くりはらしとうぶ
0421302,栗原市西部,くりはらしせいぶ
0421400,東松島市,ひがしまつしまし
0421501,大崎市東部,おおさきしとうぶ
0421502,大崎市西部,おおさきしせいぶ
0421600,富谷市,とみやし
0430100,蔵王町,ざおうまち
0430200,七ヶ宿町,しちかしゅくまち
0432100,大河原町,おおがわらまち
0432200,村田町,むらたまち
0432300,柴田町,しばたまち
0432400,川崎町,かわさきまち
0434100,丸森町,まるもりまち
0436100,亘理町,わたりちょう
0436200,山元町,やまもとちょう
0440100,松島町,まつしままち
0440400,七ヶ浜町,しちがはままち
0440600,利府町,りふちょう
0442101,大和町東部,たいわちょうとうぶ
0442102,大和町西部,たいわちょうせいぶ
0442200,大郷町,おおさとちょう
0442400,大衡村,おおひらむら
0444400,色麻町,しかまちょう
0444500,加美町,かみまち
0450100,涌谷町,わくやちょう
0450500,美里町,みさとまち
0458100,女川町,おながわちょう
0460600,南三陸町,みなみさんりくちょう
0520100,秋田市,あきたし
0520200,能代市,のしろし
0520300,横手市,よこてし
0520400,大館市,おおだてし
0520600,男鹿市,おがし
0520700,湯沢市,ゆざわし
0520900,鹿角市,かづのし
0521000,由利本荘市,ゆりほんじょうし
0521100,潟上市,かたがみし
0521200,大仙市,だいせんし
0521300,北秋田市,きたあきたし
0521400,にかほ市,にかほし
0521500,仙北市,せんぼくし
0530300,小坂町,こさかまち
0532700,上小阿仁村,かみこあにむら
0534600,藤里町,ふじさとまち
0534800,三種町,みたねちょう
0534900,八峰町,はっぽうちょう
0536100,五城目町,ごじょうめまち
0536300,八郎潟町,はちろうがたまち
0536600,井川町,いかわまち
0536800,大潟村,おおがたむら
0543400,美郷町,みさとちょう
0546300,羽後町,うごまち
0546400,東成瀬村,ひがしなるせむら
0620100,山形市,やまがたし
0620200,米沢市,よねざわし
0620300,鶴岡市,つるおかし
0620400,酒田市,さかたし
0620500,新庄市,しんじょうし
0620600,寒河江市,さがえし
0620700,上山市,かみのやまし
0620800,村山市,むらやまし
0620900,長井市,ながいし
0621000,天童市,てんどうし
0621100,東根市,ひがしねし
0621200,尾花沢市,おばなざわし
0621300,南陽市,なんようし
0630100,山辺町,やまのべまち
0630200,中山町,なかやままち
0632100,河北町,かほくちょう
0632200,西川町,にしかわまち
0632300,朝日町,あさひまち
0632400,大江町,おおえまち
0634100,大石田町,おおいしだまち
0636100,金山町,かねやままち
0636200,最上町,もがみまち
0636300,舟形町,ふながたまち
0636400,真室川町,まむろがわまち
0636500,大蔵村,おおくらむら
0636600,鮭川村,さけがわむら
0636700,戸沢村,とざわむら
0638100,高畠町,たかはたまち
0638200,川西町,かわにしまち
0640100,小国町,おぐにまち
0640200,白鷹町,しらたかまち
0640300,飯豊町,いいでまち
0642600,三川町,みかわまち
0642800,庄内町,しょうないまち
0646100,遊佐町,ゆざまち
0720100,福島市,ふくしまし
0720200,会津若松市,あいづわかまつし
0720301,郡山市,こおりやまし
0720302,郡山市湖南,こおりやましこなん
0720400,いわき市,いわきし
0720500,白河市,しらかわし
0720700,須賀川市,すかがわし
0720800,喜多方市,きたかたし
0720900,相馬市,そうまし
0721000,二本松市,にほんまつし
0721100,田村市,たむらし
0721200,南相馬市,みなみそうまし
0721300,伊達市,だてし
0721400,本宮市,もとみやし
0730100,桑折町,こおりまち
0730300,国見町,くにみまち
0730800,川俣町,かわまたまち
0732200,大玉村,おおたまむら
0734200,鏡石町,かがみいしまち
0734401,天栄村,てんえいむら
0734402,天栄村湯本,てんえいむらゆもと
0736200,下郷町,しもごうまち
0736400,檜枝岐村,ひのえまたむら
0736700,只見町,ただみまち
0736800,南会津町,みなみあいづまち
0740200,北塩原村,きたしおばらむら
0740500,西会津町,にしあいづまち
0740700,磐梯町,ばんだいまち
0740800,猪苗代町,いなわしろまち
0742100,会津坂下町,あいづばんげまち
0742200,湯川村,ゆがわむら
0742300,柳津町,やないづまち
0744400,三島町,みしままち
0744500,金山町,かねやままち
0744600,昭和村,しょうわむら
0744700,会津美里町,あいづみさとまち
0746100,西郷村,にしごうむら
0746400,泉崎村,いずみざきむら
0746500,中島村,なかじまむら
0746600,矢吹町,やぶきまち
0748100,棚倉町,たなぐらまち
0748200,矢祭町,やまつりまち
0748300,塙町,はなわまち
0748400,鮫川村,さめがわむら
0750100,石川町,いしかわまち
0750200,玉川村,たまかわむら
0750300,平田村,ひらたむら
0750400,浅川町,あさかわまち
0750500,古殿町,ふるどのまち
0752100,三春町,みはるまち
0752200,小野町,おのまち
0754100,広野町,ひろのまち
0754200,楢葉町,ならはまち
0754300,富岡町,とみおかまち
0754400,川内村,かわうちむら
0754500,大熊町,おおくままち
0754600,双葉町,ふたばまち
0754700,浪江町,なみえまち
0754800,葛尾村,かつらおむら
0756100,新地町,しんちまち
0756400,飯舘村,いいたてむら
0820100,水戸市,みとし
0820200,日立市,ひたちし
0820300,土浦市,つちうらし
0820400,古河市,こがし
0820500,石岡市,いしおかし
0820700,結城市,ゆうきし
0820800,龍ケ崎市,りゅうがさきし
0821000,下妻市,しもつまし
0821100,常総市,じょうそうし
0821200,常陸太田市,ひたちおおたし
0821400,高萩市,たかはぎし
0821500,北茨城市,きたいばらきし
0821600,笠間市,かさまし
0821700,取手市,とりでし
0821900,牛久市,うしくし
0822000,つくば市,つくばし
0822100,ひたちなか市,ひたちなかし
0822200,鹿嶋市,かしまし
0822300,潮来市,いたこし
0822400,守谷市,もりやし
0822500,常陸大宮市,ひたちおおみやし
0822600,那珂市,なかし
0822700,筑西市,ちくせいし
0822800,坂東市,ばんどうし
0822900,稲敷市,いなしきし
0823000,かすみがうら市,かすみがうらし
0823100,桜川市,さくらがわし
0823200,神栖市,かみすし
0823300,行方市,なめがたし
0823400,鉾田市,ほこたし
0823500,つくばみらい市,つくばみらいし
0823600,小美玉市,おみたまし
0830200,茨城町,いばらきまち
0830900,大洗町,おおあらいまち
0831000,城里町,しろさとまち
0834100,東海村,とうかいむら
0836400,大子町,だいごまち
0844200,美浦村,みほむら
0844300,阿見町,あみまち
0844700,河内町,かわちまち
0852100,八千代町,やちよまち
0854200,五霞町,ごかまち
0854600,境町,さかいまち
0856400,利根町,とねまち
0920100,宇都宮市,うつのみやし
0920200,足利市,あしかがし
0920300,栃木市,とちぎし
0920400,佐野市,さのし
0920500,鹿沼市,かぬまし
0920601,日光市今市,にっこうしいまいち
0920602,日光市日光,にっこうしにっこう
0920603,日光市藤原,にっこうしふじはら
0920604,日光市足尾,にっこうしあしお
0920605,日光市栗山,にっこうしくりやま
0920800,小山市,おやまし
0920900,真岡市,もおかし
0921000,大田原市,おおたわらし
0921100,矢板市,やいたし
0921300,那須塩原市,なすしおばらし
0921400,さくら市,さくらし
0921500,那須烏山市,なすからすやまし
0921600,下野市,しもつけし
0930100,上三川町,かみのかわまち
0934200,益子町,ましこまち
0934300,茂木町,もてぎまち
0934400,市貝町,いちかいまち
0934500,芳賀町,はがまち
0936100,壬生町,みぶまち
0936400,野木町,のぎまち
0938400,塩谷町,しおやまち
0938600,高根沢町,たかねざわまち
0940700,那須町,なすまち
0941100,那珂川町,なかがわまち
1020100,前橋市,まえばしし
1020200,高崎市,たかさきし
1020300,桐生市,きりゅうし
1020400,伊勢崎市,いせさきし
1020500,太田市,おおたし
1020600,沼田市,ぬまたし
1020700,館林市,たてばやしし
1020800,渋川市,しぶかわし
1020900,藤岡市,ふじおかし
1021000,富岡市,とみおかし
1021100,安中市,あんなかし
1021200,みどり市,みどりし
1034400,榛東村,しんとうむら
1034500,吉岡町,よしおかまち
1036600,上野村,うえのむら
1036700,神流町,かんなまち
1038200,下仁田町,しもにたまち
1038300,南牧村,なんもくむら
1038400,甘楽町,かんらまち
1042100,中之条町,なかのじょうまち
1042400,長野原町,ながのはらまち
1042500,嬬恋村,つまごいむら
1042600,草津町,くさつまち
1042800,高山村,たかやまむら
1042900,東吾妻町,ひがしあがつままち
1044300,片品村,かたしなむら
1044400,川場村,かわばむら
1044800,昭和村,しょうわむら
1044900,みなかみ町,みなかみまち
1046400,玉村町,たまむらまち
1052100,板倉町,いたくらまち
1052200,明和町,めいわまち
1052300,千代田町,ちよだまち
1052400,大泉町,おおいずみまち
1052500,邑楽町,おうらまち
1110000,さいたま市,さいたまし
1120100,川越市,かわごえし
1120200,熊谷市,くまがやし
1120300,川口市,かわぐちし
1120600,行田市,ぎょうだし
1120700,秩父市,ちちぶし
1120800,所沢市,ところざわし
1120900,飯能市,はんのうし
1121000,加須市,かぞし
1121100,本庄市,ほんじょうし
1121200,東松山市,ひがしまつやまし
1121400,春日部市,かすかべし
1121500,狭山市,さやまし
1121600,羽生市,はにゅうし
1121700,鴻巣市,こうのすし
1121800,深谷市,ふかやし
1121900,上尾市,あげおし
1122100,草加市,そうかし
1122200,越谷市,こしがやし
1122300,蕨市,わらびし
1122400,戸田市,とだし
1122500,入間市,いるまし
1122700,朝霞市,あさかし
1122800,志木市,しきし
1122900,和光市,わこうし
1123000,新座市,にいざし
1123100,桶川市,おけがわし
1123200,久喜市,くきし
1123300,北本市,きたもとし
1123400,八潮市,やしおし
1123500,富士見市,ふじみし
1123700,三郷市,みさとし
1123800,蓮田市,はすだし
1123900,坂戸市,さかどし
1124000,幸手市,さってし
1124100,鶴ヶ島市,つるがしまし
1124200,日高市,ひだかし
1124300,吉川市,よしかわし
1124500,ふじみ野市,ふじみのし
1124600,白岡市,しらおかし
1130100,伊奈町,いなまち
1132400,三芳町,みよしまち
1132600,毛呂山町,もろやままち
1132700,越生町,おごせまち
1134100,滑川町,なめがわまち
1134200,嵐山町,らんざんまち
1134300,小川町,おがわまち
1134600,川島町,かわじままち
1134700,吉見町,よしみまち
1134800,鳩山町,はとやままち
1134900,ときがわ町,ときがわまち
1136100,横瀬町,よこぜまち
1136200,皆野町,みなのまち
1136300,長瀞町,ながとろまち
1136500,小鹿野町,おがのまち
1136900,東秩父村,ひがしちちぶむら
1138100,美里町,みさとまち
1138300,神川町,かみかわまち
1138500,上里町,かみさとまち
1140800,寄居町,よりいまち
1144200,宮代町,みやしろまち
1146400,杉戸町,すぎとまち
1146500,松伏町,まつぶしまち
1210000,千葉市,ちばし
1220200,銚子市,ちょうしし
1220300,市川市,いちかわし
1220400,船橋市,ふなばしし
1220500,館山市,たてやまし
1220600,木更津市,きさらづし
1220700,松戸市,まつどし
1220800,野田市,のだし
1221000,茂原市,もばらし
1221100,成田市,なりたし
1221200,佐倉市,さくらし
1221300,東金市,とうがねし
1221500,旭市,あさひし
1221600,習志野市,ならしのし
1221700,柏市,かしわし
1221800,勝浦市,かつうらし
1221900,市原市,いちはらし
1222000,流山市,ながれやまし
1222100,八千代市,やちよし
1222200,我孫子市,あびこし
1222300,鴨川市,かもがわし
1222400,鎌ケ谷市,かまがやし
1222500,君津市,きみつし
1222600,富津市,ふっつし
1222700,浦安市,うらやすし
1222800,四街道市,よつかいどうし
1222900,袖ケ浦市,そでがうらし
1223000,八街市,やちまたし
1223100,印西市,いんざいし
1223200,白井市,しろいし
1223300,富里市,とみさとし
1223400,南房総市,みなみぼうそうし
1223500,匝瑳市,そうさし
1223600,香取市,かとりし
1223700,山武市,さんむし
1223800,いすみ市,いすみし
1223900,大網白里市,おおあみしらさとし
1232200,酒々井町,しすいまち
1232900,栄町,さかえまち
1234200,神崎町,こうざきまち
1234700,多古町,たこまち
1234900,東庄町,とうのしょうまち
1240300,九十九里町,くじゅうくりまち
1240900,芝山町,しばやままち
1241000,横芝光町,よこしばひかりまち
1242100,一宮町,いちのみやまち
1242200,睦沢町,むつざわまち
1242300,長生村,ちょうせいむら
1242400,白子町,しらこまち
1242600,長柄町,ながらまち
1242700,長南町,ちょうなんまち
1244100,大多喜町,おおたきまち
1244300,御宿町,おんじゅくまち
1246300,鋸南町,きょなんまち
1310100,千代田区,ちよだく
1310200,中央区,ちゅうおうく
1310300,港区,みなとく
1310400,新宿区,しんじゅくく
1310500,文京区,ぶんきょうく
1310600,台東区,たいとうく
1310700,墨田区,すみだく
1310800,江東区,こうとうく
1310900,品川区,しながわく
1311000,目黒区,めぐろく
1311100,大田区,おおたく
1311200,世田谷区,せたがやく
1311300,渋谷区,しぶやく
1311400,中野区,なかのく
1311500,杉並区,すぎなみく
1311600,豊島区,としまく
1311700,北区,きたく
1311800,荒川区,あらかわく
1311900,板橋区,いたばしく
1312000,練馬区,ねりまく
1312100,足立区,あだちく
1312200,葛飾区,かつしかく
1312300,江戸川区,えどがわく
1320100,八王子市,はちおうじし
1320200,立川市,たちかわし
1320300,武蔵野市,むさしのし
1320400,三鷹市,みたかし
1320500,青梅市,おうめし
1320600,府中市,ふちゅうし
1320700,昭島市,あきしまし
1320800,調布市,ちょうふし
1320900,町田市,まちだし
1321000,小金井市,こがねいし
1321100,小平市,こだいらし
1321200,日野市,ひのし
1321300,東村山市,ひがしむらやまし
1321400,国分寺市,こくぶんじし
1321500,国立市,くにたちし
1321800,福生市,ふっさし
1321900,狛江市,こまえし
1322000,東大和市,ひがしやまとし
1322100,清瀬市,きよせし
1322200,東久留米市,ひがしくるめし
1322300,武蔵村山市,むさしむらやまし
1322400,多摩市,たまし
1322500,稲城市,いなぎし
1322700,羽村市,はむらし
1322800,あきる野市,あきるのし
1322900,西東京市,にしとうきょうし
1330300,瑞穂町,みずほまち
1330500,日の出町,ひのでまち
1330700,檜原村,ひのはらむら
1330800,奥多摩町,おくたままち
1336100,大島町,おおしままち
1336200,利島村,としまむら
1336300,新島村,にいじまむら
1336400,神津島村,こうづしまむら
1338100,三宅村,みやけむら
1338200,御蔵島村,みくらじまむら
1340100,八丈町,はちじょうまち
1340200,青ヶ島村,あおがしまむら
1342100,小笠原村,おがさわらむら
1410000,横浜市,よこはまし
1413000,川崎市,かわさきし
1415000,相模原市,さがみはらし
1420100,横須賀市,よこすかし
1420300,平塚市,ひらつかし
1420400,鎌倉市,かまくらし
1420500,藤沢市,ふじさわし
1420600,小田原市,おだわらし
1420700,茅ヶ崎市,ちがさきし
1420800,逗子市,ずしし
1421000,三浦市,みうらし
1421100,秦野市,はだのし
1421200,厚木市,あつぎし
1421300,大和市,やまとし
1421400,伊勢原市,いせはらし
1421500,海老名市,えびなし
1421600,座間市,ざまし
1421700,南足柄市,みなみあしがらし
1421800,綾瀬市,あやせし
1430100,葉山町,はやままち
1432100,寒川町,さむかわまち
1434100,大磯町,おおいそまち
1434200,二宮町,にのみやまち
1436100,中井町,なかいまち
1436200,大井町,おおいまち
1436300,松田町,まつだまち
1436400,山北町,やまきたまち
1436600,開成町,かいせいまち
1438200,箱根町,はこねまち
1438300,真鶴町,まなづるまち
1438400,湯河原町,ゆがわらまち
1440100,愛川町,あいかわまち
1440200,清川村,きよかわむら
1510000,新潟市,にいがたし
1520200,長岡市,ながおかし
1520400,三条市,さんじょうし
1520500,柏崎市,かしわざきし
1520600,新発田市,しばたし
1520800,小千谷市,おぢやし
1520900,加茂市,かもし
1521000,十日町市,とおかまちし
1521100,見附市,みつけし
1521200,村上市,むらかみし
1521300,燕市,つばめし
1521600,糸魚川市,いといがわし
1521700,妙高市,みょうこうし
1521800,五泉市,ごせんし
1522200,上越市,じょうえつし
1522300,阿賀野市,あがのし
1522400,佐渡市,さどし
1522500,魚沼市,うおぬまし
1522600,南魚沼市,みなみうおぬまし
1522700,胎内市,たいないし
1530700,聖籠町,せいろうまち
1534200,弥彦村,やひこむら
1536100,田上町,たがみまち
1538500,阿賀町,あがまち
1540500,出雲崎町,いずもざきまち
1546100,湯沢町,ゆざわまち
1548200,津南町,つなんまち
1550400,刈羽村,かりわむら
1558100,関川村,せきかわむら
1558600,粟島浦村,あわしまうらむら
1620100,富山市,とやまし
1620200,高岡市,たかおかし
1620400,魚津市,うおづし
1620500,氷見市,ひみし
1620600,滑川市,なめりかわし
1620700,黒部市,くろべし
1620800,砺波市,となみし
1620900,小矢部市,おやべし
1621000,南砺市,なんとし
1621100,射水市,いみずし
1632100,舟橋村,ふなはしむら
1632200,上市町,かみいちまち
1632300,立山町,たてやままち
1634200,入善町,にゅうぜんまち
1634300,朝日町,あさひまち
1720100,金沢市,かなざわし
1720200,七尾市,ななおし
1720300,小松市,こまつし
1720400,輪島市,わじまし
1720500,珠洲市,すずし
1720600,加賀市,かがし
1720700,羽咋市,はくいし
1720900,かほく市,かほくし
1721000,白山市,はくさんし
1721100,能美市,のみし
1721200,野々市市,ののいちし
1732400,川北町,かわきたまち
1736100,津幡町,つばたまち
1736500,内灘町,うちなだまち
1738400,志賀町,しかまち
1738600,宝達志水町,ほうだつしみずちょう
1740700,中能登町,なかのとまち
1746100,穴水町,あなみずまち
1746300,能登町,のとちょう
1820100,福井市,ふくいし
1820200,敦賀市,つるがし
1820400,小浜市,おばまし
1820500,大野市,おおのし
1820600,勝山市,かつやまし
1820700,鯖江市,さばえし
1820800,あわら市,あわらし
1820900,越前市,えちぜんし
1821000,坂井市,さかいし
1832200,永平寺町,えいへいじちょう
1838200,池田町,いけだちょう
1840400,南越前町,みなみえちぜんちょう
1842300,越前町,えちぜんちょう
1844200,美浜町,みはまちょう
1848100,高浜町,たかはまちょう
1848300,おおい町,おおいちょう
1850100,若狭町,わかさちょう
1920100,甲府市,こうふし
1920200,富士吉田市,ふじよしだし
1920400,都留市,つるし
1920500,山梨市,やまなしし
1920600,大月市,おおつきし
1920700,韮崎市,にらさきし
1920800,南アルプス市,みなみあるぷすし
1920900,北杜市,ほくとし
1921000,甲斐市,かいし
1921100,笛吹市,ふえふきし
1921200,上野原市,うえのはらし
1921300,甲州市,こうしゅうし
1921400,中央市,ちゅうおうし
1934600,市川三郷町,いちかわみさとちょう
1936400,早川町,はやかわちょう
1936500,身延町,みのぶちょう
1936600,南部町,なんぶちょう
1936800,富士川町,ふじかわちょう
1938400,昭和町,しょうわちょう
1942200,道志村,どうしむら
1942300,西桂町,にしかつらちょう
1942400,忍野村,おしのむら
1942500,山中湖村,やまなかこむら
1942900,鳴沢村,なるさわむら
1943000,富士河口湖町,ふじかわぐちこまち
1944200,小菅村,こすげむら
1944300,丹波山村,たばやまむら
2020100,長野市,ながのし
2020201,松本,まつもと
2020202,乗鞍上高地,のりくらかみこうち
2020300,上田市,うえだし
2020400,岡谷市,おかやし
2020500,飯田市,いいだし
2020600,諏訪市,すわし
2020700,須坂市,すざかし
2020800,小諸市,こもろし
2020900,伊那市,いなし
2021000,駒ヶ根市,こまがねし
2021100,中野市,なかのし
2021200,大町市,おおまちし
2021300,飯山市,いいやまし
2021400,茅野市,ちのし
2021501,塩尻,しおじり
2021502,楢川,ならかわ
2021700,佐久市,さくし
2021800,千曲市,ちくまし
2021900,東御市,とうみし
2022000,安曇野市,あづみのし
2030300,小海町,こうみまち
2030400,川上村,かわかみむら
